id,image_id,unique_image_jpg,x_min,y_min,w,h,label,label_id,author,bbname,unique_image_path
1,61,FLIR1_20230318_212919_603_2454.jpg,605,86,11,9,duck_goose],0,bp,FLIR1_20230318_212919_603_2454_tile_L.jpg,C:/path_here/FLIR1_20230318_212919_603_2454.jpg
2,61,FLIR1_20230318_212919_603_2454.jpg,616,105,9,8,duck_goose],0,bp,FLIR1_20230318_212919_603_2454_tile_L.jpg,C:/path_here/FLIR1_20230318_212919_603_2454.jpg
3,63,FLIR1_20230318_213034_201_2538.jpg,139,9,6,3,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
4,63,FLIR1_20230318_213034_201_2538.jpg,141,17,7,9,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
5,63,FLIR1_20230318_213034_201_2538.jpg,146,26,8,9,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
6,63,FLIR1_20230318_213034_201_2538.jpg,148,13,7,9,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
7,63,FLIR1_20230318_213034_201_2538.jpg,152,9,7,6,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
8,63,FLIR1_20230318_213034_201_2538.jpg,157,26,7,9,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
9,63,FLIR1_20230318_213034_201_2538.jpg,157,17,8,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
10,63,FLIR1_20230318_213034_201_2538.jpg,158,39,6,9,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
11,63,FLIR1_20230318_213034_201_2538.jpg,167,15,6,7,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
12,63,FLIR1_20230318_213034_201_2538.jpg,170,18,6,7,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
13,63,FLIR1_20230318_213034_201_2538.jpg,172,9,5,5,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
14,63,FLIR1_20230318_213034_201_2538.jpg,181,9,4,5,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
15,63,FLIR1_20230318_213034_201_2538.jpg,181,17,8,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
16,63,FLIR1_20230318_213034_201_2538.jpg,186,9,6,6,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
17,63,FLIR1_20230318_213034_201_2538.jpg,221,18,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
18,63,FLIR1_20230318_213034_201_2538.jpg,222,11,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
19,63,FLIR1_20230318_213034_201_2538.jpg,222,9,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
20,63,FLIR1_20230318_213034_201_2538.jpg,227,16,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
21,63,FLIR1_20230318_213034_201_2538.jpg,228,9,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
22,63,FLIR1_20230318_213034_201_2538.jpg,233,11,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
23,63,FLIR1_20230318_213034_201_2538.jpg,240,12,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
24,63,FLIR1_20230318_213034_201_2538.jpg,242,19,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
25,63,FLIR1_20230318_213034_201_2538.jpg,245,9,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
26,63,FLIR1_20230318_213034_201_2538.jpg,247,14,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
27,63,FLIR1_20230318_213034_201_2538.jpg,250,22,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
28,63,FLIR1_20230318_213034_201_2538.jpg,251,9,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
29,63,FLIR1_20230318_213034_201_2538.jpg,251,37,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
30,63,FLIR1_20230318_213034_201_2538.jpg,256,15,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
31,63,FLIR1_20230318_213034_201_2538.jpg,257,27,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
32,63,FLIR1_20230318_213034_201_2538.jpg,261,9,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
33,63,FLIR1_20230318_213034_201_2538.jpg,261,23,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
34,63,FLIR1_20230318_213034_201_2538.jpg,262,42,6,8,duck_goose],0,bp,FLIR1_20230318_213034_201_2538_tile_L.jpg,C:/path_here/FLIR1_20230318_213034_201_2538.jpg
